input_len,n_hidden,network,learning_rate,epochs,sigma,noise_type,mse_error
1,10,lstm,0.001,500,0,wiener,2.333291368452986e-05
1,10,lstm,0.001,500,0.01,iid,0.00022452871299475809
1,10,lstm,0.001,500,0.01,wiener,0.00014835437126233016
input_len,n_hidden,network,learning_rate,epochs,sigma,noise_type,mse_error
10,5,mlp,0.001,10,0,iid,0.13242103299938165
10,5,mlp,0.001,10,0,wiener,0.0030533020674071766
10,5,mlp,0.001,10,0.01,iid,0.13957995704365
10,5,mlp,0.001,10,0.01,wiener,0.29793132458136784
10,5,mlp,0.001,10,0.1,iid,0.1371315746715388
10,5,mlp,0.001,10,0.1,wiener,0.6938761060746808
10,5,mlp,0.001,100,0,iid,3.97289140272278e-05
10,5,mlp,0.001,100,0,wiener,2.4471608882542452e-05
10,5,mlp,0.001,100,0.01,iid,0.0033643417160702438
10,5,mlp,0.001,100,0.01,wiener,0.0009138525361740459
10,5,mlp,0.001,100,0.1,iid,0.013143169434293134
10,5,mlp,0.001,100,0.1,wiener,0.18570986948928597
10,5,mlp,0.001,500,0,iid,3.212902449114881e-11
10,5,mlp,0.001,500,0,wiener,3.6632778484794905e-07
10,5,mlp,0.001,500,0.01,iid,0.00018781043873670512
10,5,mlp,0.001,500,0.01,wiener,0.015276428877316646
10,5,mlp,0.001,500,0.1,iid,0.011481176685659332
10,5,mlp,0.001,500,0.1,wiener,0.012854034329871656
10,5,mlp,0.01,10,0,iid,0.0009269935064436691
10,5,mlp,0.01,10,0,wiener,0.0003808423912464902
10,5,mlp,0.01,10,0.01,iid,0.0005545187585151414
10,5,mlp,0.01,10,0.01,wiener,0.001971600538856659
10,5,mlp,0.01,10,0.1,iid,0.015712401297131345
10,5,mlp,0.01,10,0.1,wiener,0.024218693615792417
10,5,mlp,0.01,100,0,iid,4.767148728453767e-06
10,5,mlp,0.01,100,0,wiener,7.122346736699919e-07
10,5,mlp,0.01,100,0.01,iid,0.0001655022441203699
10,5,mlp,0.01,100,0.01,wiener,0.0004499588420775978
10,5,mlp,0.01,100,0.1,iid,0.011420069910011009
10,5,mlp,0.01,100,0.1,wiener,0.011378229993605693
10,5,mlp,0.01,500,0,iid,9.413308566818138e-09
10,5,mlp,0.01,500,0,wiener,1.561786089895392e-07
10,5,mlp,0.01,500,0.01,iid,0.0001567166716990349
10,5,mlp,0.01,500,0.01,wiener,0.0001865036113863347
10,5,mlp,0.01,500,0.1,iid,0.011842312159997254
10,5,mlp,0.01,500,0.1,wiener,0.012627978896626509
10,5,mlp,0.1,10,0,iid,0.000863511337648097
10,5,mlp,0.1,10,0,wiener,0.0007297330510397732
10,5,mlp,0.1,10,0.01,iid,0.0006143199268995035
10,5,mlp,0.1,10,0.01,wiener,0.0009179667385653878
10,5,mlp,0.1,10,0.1,iid,0.012860646349531648
10,5,mlp,0.1,10,0.1,wiener,0.014448338541522667
10,5,mlp,0.1,100,0,iid,6.960749216742577e-08
10,5,mlp,0.1,100,0,wiener,3.993643962067495e-06
10,5,mlp,0.1,100,0.01,iid,0.0036066397903648595
10,5,mlp,0.1,100,0.01,wiener,0.0002110232346858332
10,5,mlp,0.1,100,0.1,iid,0.024623018734787974
10,5,mlp,0.1,100,0.1,wiener,0.010611406282597824
